N,REP,N_THREADS,PAR_LOOP,RUNNING_TIME,STDOUT
2400,0,1,0,4.962694204004947,-918667776
2400,0,1,1,77.3001102929702,-918667776
2400,0,1,2,4.889348216005601,-918667776
2400,0,2,0,2.586900187015999,-918667776
2400,0,2,1,79.16639592504362,-918667776
2400,0,2,2,6.066306816996075,-918667776
2400,0,3,0,1.7626125710085034,-918667776
2400,0,3,1,58.270978251006454,-918667776
2400,0,3,2,5.860390843998175,-918667776
2400,0,4,0,1.3440299700014293,-918667776
2400,0,4,1,56.282556830963586,-918667776
2400,0,4,2,7.23426182201365,-918667776
2400,0,5,0,1.1082963409717195,-918667776
2400,0,5,1,45.42956051096553,-918667776
2400,0,5,2,6.852511848032009,-918667776
2400,0,6,0,0.9373862840002403,-918667776
2400,0,6,1,39.609673133003525,-918667776
2400,0,6,2,8.063508294988424,-918667776
2400,0,7,0,0.8083947210106999,-918667776
2400,0,7,1,35.098358502960764,-918667776
2400,0,7,2,8.629963992978446,-918667776
2400,0,8,0,0.7087086199899204,-918667776
2400,0,8,1,32.504490836989135,-918667776
2400,0,8,2,9.380012779962271,-918667776
2400,0,9,0,0.6557931840070523,-918667776
2400,0,9,1,29.581527106987778,-918667776
2400,0,9,2,9.442075232975185,-918667776
2400,0,10,0,0.6064884930383414,-918667776
2400,0,10,1,28.117663923010696,-918667776
2400,0,10,2,10.168302687001415,-918667776
2400,0,11,0,0.563558904977981,-918667776
2400,0,11,1,26.486180920968764,-918667776
2400,0,11,2,10.326886036025826,-918667776
2400,0,12,0,0.512388918956276,-918667776
2400,0,12,1,24.873006381036248,-918667776
2400,0,12,2,10.745926085975952,-918667776
2400,0,13,0,0.4722274870146066,-918667776
2400,0,13,1,23.495474950002972,-918667776
2400,0,13,2,11.687325311999302,-918667776
2400,0,14,0,0.4388848840026185,-918667776
2400,0,14,1,22.071332722029183,-918667776
2400,0,14,2,11.98131669301074,-918667776
2400,0,15,0,0.41785901196999475,-918667776
2400,0,15,1,21.14928236999549,-918667776
2400,0,15,2,12.335800290980842,-918667776
2400,0,16,0,0.3925930169643834,-918667776
2400,0,16,1,20.2532667350024,-918667776
2400,0,16,2,13.249216297990642,-918667776
2400,0,17,0,0.3767373519949615,-918667776
2400,0,17,1,19.14143973198952,-918667776
2400,0,17,2,13.470355946978088,-918667776
2400,0,18,0,0.3499436380225234,-918667776
2400,0,18,1,18.68876175105106,-918667776
2400,0,18,2,13.761369146988727,-918667776
2400,0,19,0,0.33734235796146095,-918667776
2400,0,19,1,18.023213598004077,-918667776
2400,0,19,2,14.18159121600911,-918667776
2400,0,20,0,0.43409297498874366,-918667776
2400,0,20,1,17.89624706201721,-918667776
2400,0,20,2,14.47533739701612,-918667776
2400,1,1,0,5.028345785045531,-918667776
2400,1,1,1,77.34256326500326,-918667776
2400,1,1,2,4.982238725002389,-918667776
2400,1,2,0,2.5436515519977547,-918667776
2400,1,2,1,85.85653763398295,-918667776
2400,1,2,2,6.074746455007698,-918667776
2400,1,3,0,1.7867553899995983,-918667776
2400,1,3,1,57.775246431003325,-918667776
2400,1,3,2,5.477682652999647,-918667776
2400,1,4,0,1.3284148029633798,-918667776
2400,1,4,1,53.71715226001106,-918667776
2400,1,4,2,7.227307845023461,-918667776
2400,1,5,0,1.1133897149702534,-918667776
2400,1,5,1,44.571126508992165,-918667776
2400,1,5,2,6.794572993996553,-918667776
2400,1,6,0,0.933171106968075,-918667776
2400,1,6,1,39.51620474702213,-918667776
2400,1,6,2,8.231014677032363,-918667776
2400,1,7,0,0.8007776160375215,-918667776
2400,1,7,1,35.037367712997366,-918667776
2400,1,7,2,8.642873350996524,-918667776
2400,1,8,0,0.7481512280064635,-918667776
