# HOSTNAME = host
openmp,n_threads,par_loop,rep,elapsed_time,result
False,1,0,1,4.628759847953916,-918667776
False,1,0,2,4.735575884580612,-918667776
False,1,0,3,4.879378290846944,-918667776
False,1,0,4,4.536052081733942,-918667776
False,1,0,5,4.573250287212431,-918667776
False,1,0,6,4.741817028261721,-918667776
False,1,0,7,4.7706129513680935,-918667776
False,1,0,8,4.848007530905306,-918667776
False,1,0,9,4.567319752648473,-918667776
False,1,0,10,4.769952418282628,-918667776
True,1,0,1,4.685154206119478,-918667776
True,1,0,2,4.63998609315604,-918667776
True,1,0,3,4.546113227494061,-918667776
True,1,0,4,4.315708023495972,-918667776
True,1,0,5,4.516283716075122,-918667776
True,1,0,6,4.506743410602212,-918667776
True,1,0,7,4.395400949753821,-918667776
True,1,0,8,4.434967331588268,-918667776
True,1,0,9,4.477662176825106,-918667776
True,1,0,10,4.664744704961777,-918667776
True,2,0,1,2.184699544683099,-918667776
True,2,0,2,2.2900282852351665,-918667776
True,2,0,3,2.3754197396337986,-918667776
True,2,0,4,2.5053233737125993,-918667776
True,2,0,5,2.450725518167019,-918667776
True,2,0,6,2.352571855299175,-918667776
True,2,0,7,2.329793056473136,-918667776
True,2,0,8,2.278857027180493,-918667776
True,2,0,9,2.29269742872566,-918667776
True,2,0,10,2.496424059383571,-918667776
True,3,0,1,2.1092497296631336,-918667776
True,3,0,2,1.8084960971027613,-918667776
True,3,0,3,1.688834734261036,-918667776
True,3,0,4,1.6201392114162445,-918667776
True,3,0,5,1.6870195074006915,-918667776
True,3,0,6,1.592136680148542,-918667776
True,3,0,7,1.5838549872860312,-918667776
True,3,0,8,1.593180114403367,-918667776
True,3,0,9,1.731469912454486,-918667776
True,3,0,10,1.9749621879309416,-918667776
True,4,0,1,1.4884558878839016,-918667776
True,4,0,2,1.2935508219525218,-918667776
True,4,0,3,1.62985594663769,-918667776
True,4,0,4,1.6434226743876934,-918667776
True,4,0,5,1.732124650850892,-918667776
True,4,0,6,1.2118757842108607,-918667776
True,4,0,7,1.7106209518387914,-918667776
True,4,0,8,1.2421160787343979,-918667776
True,4,0,9,1.2149160029366612,-918667776
True,4,0,10,1.5288155525922775,-918667776
True,5,0,1,1.2062200205400586,-918667776
True,5,0,2,1.299526546150446,-918667776
True,5,0,3,1.3335443064570427,-918667776
True,5,0,4,1.2295940024778247,-918667776
True,5,0,5,1.4410837944597006,-918667776
True,5,0,6,1.2089726012200117,-918667776
True,5,0,7,1.3132713567465544,-918667776
True,5,0,8,1.2047038273885846,-918667776
True,5,0,9,1.4633661722764373,-918667776
True,5,0,10,1.0132454251870513,-918667776
True,6,0,1,1.3352091759443283,-918667776
True,6,0,2,1.009283808991313,-918667776
True,6,0,3,0.9930203091353178,-918667776
True,6,0,4,1.0512869665399194,-918667776
True,6,0,5,1.0100756352767348,-918667776
True,6,0,6,1.204122280701995,-918667776
True,6,0,7,0.8780175419524312,-918667776
True,6,0,8,0.9352022176608443,-918667776
True,6,0,9,1.0178448501974344,-918667776
True,6,0,10,0.9437919724732637,-918667776
True,7,0,1,0.8475528880953789,-918667776
True,7,0,2,0.7770914239808917,-918667776
True,7,0,3,0.9206779450178146,-918667776
True,7,0,4,0.9685474867001176,-918667776
True,7,0,5,1.007901668548584,-918667776
True,7,0,6,0.8237725310027599,-918667776
True,7,0,7,0.9661212926730514,-918667776
True,7,0,8,0.9278556928038597,-918667776
True,7,0,9,0.8364440174773335,-918667776
True,7,0,10,0.9230386521667242,-918667776
True,8,0,1,0.7806180501356721,-918667776
True,8,0,2,0.6647109612822533,-918667776
True,8,0,3,0.6729595363140106,-918667776
True,8,0,4,0.7119283210486174,-918667776
True,8,0,5,0.7973865326493979,-918667776
True,8,0,6,0.7212936179712415,-918667776
True,8,0,7,0.9192368062213063,-918667776
True,8,0,8,0.7616400411352515,-918667776
True,8,0,9,0.8571455059573054,-918667776
True,8,0,10,0.8840472782030702,-918667776
True,9,0,1,0.6553892455995083,-918667776
True,9,0,2,0.5797035833820701,-918667776
True,9,0,3,0.6944978404790163,-918667776
True,9,0,4,0.656494552269578,-918667776
True,9,0,5,0.7387269912287593,-918667776
True,9,0,6,0.7031040573492646,-918667776
True,9,0,7,0.6950580570846796,-918667776
True,9,0,8,0.7472135499119759,-918667776
True,9,0,9,0.8393207611516118,-918667776
True,9,0,10,0.7483988972380757,-918667776
True,10,0,1,0.7340764226391912,-918667776
True,10,0,2,0.7189177414402366,-918667776
True,10,0,3,0.7900605453178287,-918667776
True,10,0,4,0.7145192446187139,-918667776
True,10,0,5,0.7098547955974936,-918667776
True,10,0,6,0.6108089089393616,-918667776
