# HOSTNAME=login-0001
# N=12000
# DEBUG=0
# NUM_ITERS=20
# BLOCK_SIZE=200
ALGO,NUM_THREADS,REP,RUNNING_TIME,OUTPUT
0,,1,9.04275427898392,-1839653588
0,,2,9.034376378171146,-1839653588
0,,3,9.035710300784558,-1839653588
0,,4,9.036486252676696,-1839653588
0,,5,9.155348487198353,-1839653588
0,,6,9.0673380731605,-1839653588
0,,7,9.04015725897625,-1839653588
0,,8,9.039392135106027,-1839653588
0,,9,9.033874423708767,-1839653588
0,,10,9.034551518969238,-1839653588
1,1,1,17.200127852149308,-1839653588
1,1,2,17.203403996303678,-1839653588
1,1,3,17.192912239581347,-1839653588
1,1,4,17.19952258700505,-1839653588
1,1,5,17.294458142016083,-1839653588
1,1,6,17.20216200966388,-1839653588
1,1,7,17.20154474209994,-1839653588
1,1,8,17.202345311641693,-1839653588
1,1,9,17.199770227074623,-1839653588
1,1,10,17.209924060851336,-1839653588
1,2,1,17.760584427043796,-1839653588
1,2,2,17.83570488076657,-1839653588
1,2,3,17.75446379603818,-1839653588
1,2,4,17.72932599997148,-1839653588
1,2,5,17.7440716791898,-1839653588
1,2,6,17.74132941896096,-1839653588
1,2,7,17.73273447016254,-1839653588
1,2,8,17.806630921550095,-1839653588
1,2,9,17.75766456918791,-1839653588
1,2,10,17.750097010750324,-1839653588
1,3,1,18.167866127099842,-1839653588
1,3,2,18.163272662088275,-1839653588
1,3,3,18.159492934588343,-1839653588
1,3,4,18.204808495007455,-1839653588
1,3,5,18.248175889253616,-1839653588
1,3,6,18.1725505287759,-1839653588
1,3,7,18.15675917826593,-1839653588
1,3,8,18.111197819001973,-1839653588
1,3,9,18.16962088784203,-1839653588
1,3,10,18.151060162112117,-1839653588
1,4,1,18.640900806058198,-1839653588
1,4,2,18.533910062164068,-1839653588
1,4,3,18.625225727446377,-1839653588
1,4,4,18.56281333696097,-1839653588
1,4,5,18.644959213212132,-1839653588
1,4,6,18.581444591283798,-1839653588
1,4,7,18.55878156935796,-1839653588
1,4,8,18.647234050091356,-1839653588
1,4,9,18.569400617852807,-1839653588
1,4,10,18.559825593139976,-1839653588
1,5,1,19.049563004635274,-1839653588
1,5,2,18.99665506510064,-1839653588
1,5,3,19.075868322048336,-1839653588
1,5,4,19.137826371006668,-1839653588
1,5,5,19.103823334909976,-1839653588
1,5,6,19.045760375913233,-1839653588
1,5,7,19.033059860114008,-1839653588
1,5,8,19.009893800131977,-1839653588
1,5,9,19.014924172777683,-1839653588
1,5,10,19.0786824086681,-1839653588
1,6,1,19.803560798987746,-1839653588
1,6,2,19.67326320381835,-1839653588
1,6,3,19.780460383277386,-1839653588
1,6,4,19.786195361055434,-1839653588
1,6,5,19.725579492282122,-1839653588
1,6,6,19.781302475370467,-1839653588
1,6,7,19.672308964189142,-1839653588
1,6,8,19.671202335041016,-1839653588
1,6,9,19.65934369713068,-1839653588
1,6,10,19.71090731397271,-1839653588
1,7,1,20.414602348115295,-1839653588
1,7,2,20.501751536969095,-1839653588
1,7,3,20.440511994063854,-1839653588
1,7,4,20.406857474241406,-1839653588
1,7,5,20.38582519767806,-1839653588
1,7,6,20.389547917060554,-1839653588
1,7,7,20.391181251965463,-1839653588
1,7,8,20.40907215513289,-1839653588
1,7,9,20.404604661744088,-1839653588
1,7,10,20.437259790021926,-1839653588
1,8,1,21.121011610142887,-1839653588
1,8,2,21.137561994139105,-1839653588
1,8,3,21.17322508012876,-1839653588
1,8,4,21.367097875103354,-1839653588
1,8,5,21.298146571032703,-1839653588
1,8,6,21.20610619103536,-1839653588
1,8,7,21.0748046557419,-1839653588
1,8,8,21.19201410189271,-1839653588
1,8,9,21.184492514003068,-1839653588
1,8,10,21.164670038968325,-1839653588
1,9,1,22.249817084986717,-1839653588
1,9,2,22.375390896108,-1839653588
1,9,3,22.17282402794808,-1839653588
1,9,4,22.12204716866836,-1839653588
1,9,5,22.308660643175244,-1839653588
1,9,6,22.275883126072586,-1839653588
1,9,7,22.096495003905147,-1839653588
1,9,8,22.306110797915608,-1839653588
1,9,9,21.916303111240268,-1839653588
1,9,10,22.204323694109917,-1839653588
1,10,1,23.341264615301043,-1839653588
1,10,2,23.32926810020581,-1839653588
1,10,3,23.34598331199959,-1839653588
1,10,4,23.109124687034637,-1839653588
1,10,5,23.186313124839216,-1839653588
1,10,6,23.415357874706388,-1839653588
1,10,7,23.204441871959716,-1839653588
1,10,8,23.133910316042602,-1839653588
1,10,9,23.225657910108566,-1839653588
1,10,10,23.423335547093302,-1839653588
1,11,1,24.076597318984568,-1839653588
1,11,2,23.93801743304357,-1839653588
1,11,3,23.886643088888377,-1839653588
1,11,4,23.915477651171386,-1839653588
1,11,5,24.049736295826733,-1839653588
1,11,6,25.044454820919782,-1839653588
1,11,7,24.01410025311634,-1839653588
1,11,8,24.02811201289296,-1839653588
1,11,9,24.037814700976014,-1839653588
1,11,10,24.15113779110834,-1839653588
1,12,1,24.735135124996305,-1839653588
1,12,2,24.70412764279172,-1839653588
1,12,3,24.67431532079354,-1839653588
1,12,4,24.599941381253302,-1839653588
1,12,5,24.731943672988564,-1839653588
1,12,6,24.728693693876266,-1839653588
1,12,7,24.64236438740045,-1839653588
1,12,8,24.74768475908786,-1839653588
1,12,9,24.662938096094877,-1839653588
1,12,10,24.82929721614346,-1839653588
1,13,1,25.428406216669828,-1839653588
1,13,2,25.313458076212555,-1839653588
1,13,3,25.419542011339217,-1839653588
1,13,4,25.23794536618516,-1839653588
1,13,5,25.520738537888974,-1839653588
1,13,6,25.439907039050013,-1839653588
1,13,7,25.434481247793883,-1839653588
1,13,8,25.45452812127769,-1839653588
1,13,9,25.44991563586518,-1839653588
1,13,10,25.344002901110798,-1839653588
1,14,1,26.016404531430453,-1839653588
1,14,2,26.124067451804876,-1839653588
1,14,3,26.133138708304614,-1839653588
1,14,4,26.108990732114762,-1839653588
1,14,5,26.131249227095395,-1839653588
1,14,6,26.103550718631595,-1839653588
1,14,7,26.010611740872264,-1839653588
1,14,8,26.036331817973405,-1839653588
1,14,9,26.113739556167275,-1839653588
1,14,10,26.001483759842813,-1839653588
1,15,1,26.75006499933079,-1839653588
1,15,2,26.783010378014296,-1839653588
1,15,3,26.809631798882037,-1839653588
1,15,4,26.857889022212476,-1839653588
1,15,5,26.696622878313065,-1839653588
1,15,6,26.821204205974936,-1839653588
1,15,7,26.840452317148447,-1839653588
1,15,8,26.834350037854165,-1839653588
1,15,9,26.809074378106743,-1839653588
1,15,10,26.784685858990997,-1839653588
1,16,1,27.367157462984324,-1839653588
1,16,2,27.67142980871722,-1839653588
1,16,3,27.45619357470423,-1839653588
1,16,4,27.570287836249918,-1839653588
1,16,5,27.37468501413241,-1839653588
1,16,6,27.556558722630143,-1839653588
1,16,7,27.553799555636942,-1839653588
1,16,8,27.522529385983944,-1839653588
1,16,9,27.485703077167273,-1839653588
1,16,10,27.437739881221205,-1839653588
1,17,1,28.055988837964833,-1839653588
1,17,2,28.145979412831366,-1839653588
1,17,3,28.247276599053293,-1839653588
1,17,4,28.3088219887577,-1839653588
1,17,5,28.441685562953353,-1839653588
1,17,6,28.164710085373372,-1839653588
1,17,7,28.232401297893375,-1839653588
1,17,8,28.09061738010496,-1839653588
1,17,9,28.274849887937307,-1839653588
1,17,10,28.537233035080135,-1839653588
1,18,1,28.60222529899329,-1839653588
1,18,2,28.860622864216566,-1839653588
1,18,3,28.88353916304186,-1839653588
1,18,4,28.85338466381654,-1839653588
1,18,5,28.663585080299526,-1839653588
1,18,6,28.679036689922214,-1839653588
1,18,7,28.985140142031014,-1839653588
1,18,8,28.623872183728963,-1839653588
1,18,9,28.620896107982844,-1839653588
1,18,10,28.610104906838387,-1839653588
1,19,1,29.604365915991366,-1839653588
1,19,2,29.393147883936763,-1839653588
1,19,3,29.63999713305384,-1839653588
1,19,4,29.56443229690194,-1839653588
1,19,5,29.29785554530099,-1839653588
1,19,6,29.676451856270432,-1839653588
1,19,7,29.541638791095465,-1839653588
1,19,8,29.585061105899513,-1839653588
1,19,9,29.315677253063768,-1839653588
1,19,10,29.67226093215868,-1839653588
1,20,1,30.223281238693744,-1839653588
1,20,2,30.228455937933177,-1839653588
1,20,3,30.181042819749564,-1839653588
1,20,4,30.327303546946496,-1839653588
1,20,5,30.17655066307634,-1839653588
1,20,6,29.985437301918864,-1839653588
1,20,7,30.35453323321417,-1839653588
1,20,8,30.28130204183981,-1839653588
1,20,9,30.23252304084599,-1839653588
1,20,10,30.194513814058155,-1839653588
2,1,1,8.771539935842156,-1839653588
2,1,2,8.768104010727257,-1839653588
2,1,3,8.770725446753204,-1839653588
2,1,4,8.838259271811694,-1839653588
2,1,5,8.78240906400606,-1839653588
2,1,6,8.730391780845821,-1839653588
2,1,7,8.757795702200383,-1839653588
2,1,8,8.75407482078299,-1839653588
2,1,9,8.769560016226023,-1839653588
2,1,10,8.767712051980197,-1839653588
2,2,1,8.776278330944479,-1839653588
2,2,2,8.773449152708054,-1839653588
2,2,3,8.776206088252366,-1839653588
2,2,4,8.774564872030169,-1839653588
2,2,5,8.775522982235998,-1839653588
2,2,6,8.773579044267535,-1839653588
2,2,7,8.798693181946874,-1839653588
2,2,8,8.777370396070182,-1839653588
2,2,9,8.761365580838174,-1839653588
2,2,10,8.757307462394238,-1839653588
2,3,1,8.76193255232647,-1839653588
2,3,2,8.779099042061716,-1839653588
2,3,3,8.761153686791658,-1839653588
2,3,4,8.75954319210723,-1839653588
