# HOSTNAME=host
# N=12000
# DEBUG=0
# NUM_ITERS=25
# BLOCK_SIZE=200
ALGO,NUM_THREADS,REP,RUNNING_TIME,OUTPUT
0,,1,8.300682348199189,165820885
0,,2,8.194650207646191,165820885
0,,3,8.150535732507706,165820885
0,,4,8.285440104082227,165820885
0,,5,8.066973863169551,165820885
0,,6,8.231214965693653,165820885
0,,7,8.233738640323281,165820885
0,,8,8.030360141769052,165820885
0,,9,7.948440426029265,165820885
0,,10,7.952211418189108,165820885
1,1,1,24.247510297223926,165820885
1,1,2,24.5395366884768,165820885
1,1,3,24.333525838330388,165820885
1,1,4,24.442333362065256,165820885
1,1,5,25.02719307411462,165820885
1,1,6,24.377619966864586,165820885
1,1,7,24.3275297107175,165820885
1,1,8,24.33224662207067,165820885
1,1,9,23.894433516077697,165820885
1,1,10,23.920982159674168,165820885
1,2,1,14.230729999952018,165820885
1,2,2,14.304628452286124,165820885
