# HOSTNAME=host
# N=12000
# DEBUG=0
# NUM_ITERS=30
# BLOCK_SIZE=200
ALGO,NUM_THREADS,REP,RUNNING_TIME,OUTPUT
0,,1,9.533705134876072,-1652435775
0,,2,9.527335779741406,-1652435775
0,,3,9.485054878517985,-1652435775
0,,4,9.482903668656945,-1652435775
0,,5,9.51236888486892,-1652435775
0,,6,9.494039677083492,-1652435775
0,,7,9.673407221212983,-1652435775
0,,8,9.602365718223155,-1652435775
0,,9,9.50855583511293,-1652435775
0,,10,9.914088393561542,-1652435775
1,1,1,29.0855333507061,-1652435775
1,1,2,29.06630732025951,-1652435775
1,1,3,29.25778833217919,-1652435775
1,1,4,28.539317696355283,-1652435775
1,1,5,29.245957672595978,-1652435775
1,1,6,29.063818791881204,-1652435775
1,1,7,29.047847624868155,-1652435775
1,1,8,29.042568360455334,-1652435775
1,1,9,29.037230640649796,-1652435775
1,1,10,29.032387908548117,-1652435775
1,2,1,18.137627157382667,-1652435775
1,2,2,16.442595375701785,-1652435775
1,2,3,15.915053818374872,-1652435775
1,2,4,16.552904839627445,-1652435775
1,2,5,18.18865266814828,-1652435775
1,2,6,18.2733311355114,-1652435775
1,2,7,15.728071303106844,-1652435775
1,2,8,15.832367859780788,-1652435775
1,2,9,16.662244382314384,-1652435775
1,2,10,15.987571029923856,-1652435775
1,3,1,12.560331639833748,-1652435775
1,3,2,12.53419540822506,-1652435775
1,3,3,12.76862237136811,-1652435775
1,3,4,12.367730774916708,-1652435775
1,3,5,12.356396218761802,-1652435775
1,3,6,12.55503262579441,-1652435775
1,3,7,12.707453924231231,-1652435775
1,3,8,12.331888298504055,-1652435775
1,3,9,12.568301576189697,-1652435775
1,3,10,12.86483565531671,-1652435775
1,4,1,10.120126442052424,-1652435775
1,4,2,10.044533518142998,-1652435775
1,4,3,10.051190386526287,-1652435775
1,4,4,10.106399077922106,-1652435775
1,4,5,10.168553744442761,-1652435775
1,4,6,9.950693883933127,-1652435775
1,4,7,10.047997877933085,-1652435775
1,4,8,10.07599924504757,-1652435775
1,4,9,10.093789198435843,-1652435775
1,4,10,9.898939093574882,-1652435775
1,5,1,8.179768394678831,-1652435775
1,5,2,8.134709551930428,-1652435775
1,5,3,8.218303202651441,-1652435775
1,5,4,7.930233810096979,-1652435775
1,5,5,9.820859655737877,-1652435775
1,5,6,8.286779191344976,-1652435775
1,5,7,9.228453949093819,-1652435775
1,5,8,8.465671951882541,-1652435775
1,5,9,9.531145571731031,-1652435775
1,5,10,8.270002534613013,-1652435775
1,6,1,6.79338997695595,-1652435775
1,6,2,6.967837891541421,-1652435775
1,6,3,7.915826413780451,-1652435775
1,6,4,7.138998705893755,-1652435775
1,6,5,7.0761429807171226,-1652435775
1,6,6,6.977925789542496,-1652435775
1,6,7,6.982738109305501,-1652435775
1,6,8,7.0955153703689575,-1652435775
1,6,9,7.734877576120198,-1652435775
1,6,10,6.999630846083164,-1652435775
1,7,1,6.370840771123767,-1652435775
1,7,2,6.256907739676535,-1652435775
1,7,3,6.289923314936459,-1652435775
1,7,4,6.327161091379821,-1652435775
1,7,5,6.410149726085365,-1652435775
1,7,6,6.704400325194001,-1652435775
1,7,7,6.337245408445597,-1652435775
1,7,8,6.349265202879906,-1652435775
1,7,9,6.293574075214565,-1652435775
1,7,10,6.372374165803194,-1652435775
1,8,1,5.786387196741998,-1652435775
1,8,2,5.634449538774788,-1652435775
1,8,3,5.535699541680515,-1652435775
1,8,4,5.594506727531552,-1652435775
1,8,5,5.697345799766481,-1652435775
1,8,6,5.6871874975040555,-1652435775
1,8,7,5.657276269979775,-1652435775
1,8,8,5.722679931670427,-1652435775
1,8,9,5.668248117901385,-1652435775
1,8,10,5.701166209764779,-1652435775
1,9,1,5.142213609069586,-1652435775
1,9,2,5.35238117352128,-1652435775
1,9,3,5.192584030330181,-1652435775
1,9,4,5.406406868249178,-1652435775
1,9,5,5.028367206454277,-1652435775
1,9,6,5.0232624700292945,-1652435775
1,9,7,4.985838918946683,-1652435775
1,9,8,4.978012976236641,-1652435775
1,9,9,5.210679015144706,-1652435775
1,9,10,5.385497182607651,-1652435775
1,10,1,4.862877040170133,-1652435775
1,10,2,4.8812077371403575,-1652435775
1,10,3,5.25590696092695,-1652435775
1,10,4,4.7324378490448,-1652435775
1,10,5,4.814184527844191,-1652435775
1,10,6,4.49780854023993,-1652435775
1,10,7,4.787788004614413,-1652435775
1,10,8,4.67860090918839,-1652435775
1,10,9,4.736860826611519,-1652435775
1,10,10,3.5782201597467065,-1652435775
1,11,1,4.4207585053518414,-1652435775
1,11,2,4.339606243185699,-1652435775
1,11,3,3.846153188496828,-1652435775
1,11,4,4.7227662010118365,-1652435775
1,11,5,3.4572295881807804,-1652435775
1,11,6,4.588186879642308,-1652435775
1,11,7,4.861496277153492,-1652435775
1,11,8,4.600308529101312,-1652435775
1,11,9,5.109227918088436,-1652435775
1,11,10,4.543542101979256,-1652435775
1,12,1,4.534872752614319,-1652435775
1,12,2,4.659996150992811,-1652435775
1,12,3,4.492142784409225,-1652435775
1,12,4,3.3527488382533193,-1652435775
1,12,5,4.569182092323899,-1652435775
1,12,6,4.313918337225914,-1652435775
1,12,7,4.224532164633274,-1652435775
1,12,8,4.260317780077457,-1652435775
1,12,9,4.181871858425438,-1652435775
1,12,10,4.167864294722676,-1652435775
