# HOSTNAME=host
# N=12000
# DEBUG=0
# NUM_ITERS=20
# BLOCK_SIZE=200
ALGO,NUM_THREADS,REP,RUNNING_TIME,OUTPUT
0,,1,6.448734754696488,-1839653588
0,,2,6.725409775972366,-1839653588
0,,3,6.582409339956939,-1839653588
0,,4,6.541489218361676,-1839653588
0,,5,6.637877966277301,-1839653588
0,,6,6.670018399134278,-1839653588
0,,7,6.441163654439151,-1839653588
0,,8,6.419797386974096,-1839653588
0,,9,6.531034536659718,-1839653588
0,,10,6.448712798766792,-1839653588
1,1,1,19.493469771929085,-1839653588
1,1,2,19.46317366976291,-1839653588
1,1,3,19.353928912431,-1839653588
1,1,4,19.292689315974712,-1839653588
1,1,5,19.17649728897959,-1839653588
1,1,6,19.65017590019852,-1839653588
1,1,7,19.485101766884327,-1839653588
1,1,8,19.41680782288313,-1839653588
1,1,9,19.414893778041005,-1839653588
1,1,10,19.649371561594307,-1839653588
1,2,1,11.884211151860654,-1839653588
1,2,2,12.046222010627389,-1839653588
1,2,3,12.081619996577501,-1839653588
1,2,4,12.40215877443552,-1839653588
1,2,5,12.323557638563216,-1839653588
1,2,6,12.29532132577151,-1839653588
1,2,7,12.316645484417677,-1839653588
1,2,8,12.313790095970035,-1839653588
1,2,9,9.816259018145502,-1839653588
1,2,10,12.440463056787848,-1839653588
1,3,1,8.456090871244669,-1839653588
1,3,2,8.458077322691679,-1839653588
1,3,3,8.526585225015879,-1839653588
1,3,4,8.641615589149296,-1839653588
1,3,5,8.255209872499108,-1839653588
1,3,6,8.510617918334901,-1839653588
1,3,7,8.601133151911199,-1839653588
1,3,8,8.736386681906879,-1839653588
1,3,9,8.41194345895201,-1839653588
1,3,10,8.625996807590127,-1839653588
1,4,1,6.852156485430896,-1839653588
1,4,2,6.834336775355041,-1839653588
1,4,3,6.963204815983772,-1839653588
1,4,4,6.8743644608184695,-1839653588
1,4,5,6.902835291810334,-1839653588
1,4,6,7.126532181166112,-1839653588
1,4,7,6.971366285346448,-1839653588
1,4,8,6.779020288027823,-1839653588
1,4,9,6.928163422271609,-1839653588
1,4,10,6.990578146651387,-1839653588
1,5,1,6.057985306717455,-1839653588
1,5,2,6.1927280575037,-1839653588
1,5,3,5.738212211988866,-1839653588
1,5,4,5.568829444237053,-1839653588
1,5,5,5.744393195025623,-1839653588
1,5,6,5.634630281478167,-1839653588
1,5,7,5.622525591403246,-1839653588
1,5,8,5.583512125536799,-1839653588
1,5,9,5.585027679800987,-1839653588
1,5,10,5.619594408199191,-1839653588
1,6,1,4.820462703704834,-1839653588
1,6,2,4.723288184031844,-1839653588
1,6,3,4.740202981978655,-1839653588
1,6,4,4.836112407967448,-1839653588
1,6,5,4.745143443346024,-1839653588
1,6,6,4.6522032134234905,-1839653588
1,6,7,4.764481025747955,-1839653588
1,6,8,4.800125534646213,-1839653588
